A,B,C,D,E,F
16,99.36,11,125.05,65.2442,89.8008
17,107,20,251.49,-43.3988,-88.9806
21,139.53,22,279.45,-28.6789,-40.9576
18,115.43,14,167.24,-39.1259,-8.31646
34,243.24,39,517.03,-66.3513,-46.4597
18,115.44,10,111.46,-48.3014,-41.9878
30,211.22,29,377.48,84.644,27.5025
22,147.27,11,125.01,38.7093,4.7529
7,27.06,8,83.1,-57.6567,-59.7052
10,51.4,0,-28.94,-49.3208,-51.0731
31,219.56,38,503.38,-34.9063,-62.9726
0,-28.84,32,418.98,-30.7427,-22.3358
36,259.21,24,307.25,-17.3205,-9.99999
22,147.44,24,307.27,29.9686,74.1747
3,-4.93,36,475.52,10.7181,2.47446
6,19.4,17,209.54,33.1382,14.0663
23,155.25,17,209.52,58.9859,56.9619
29,203.35,35,461.5,-26.0455,-21.8548
0,-28.95,3,13.33,-27.2511,-9.91858
10,51.31,38,503.15,72.8116,52.9006
8,35.25,4,27.03,56.8761,63.1673
24,163.06,13,153.3,-3.75877,-1.36808
32,227.54,14,167.44,-22.6625,-53.3893
14,83.19,1,-14.74,-0.358369,-0.93358
25,170.98,10,111.52,33.3869,71.5983
36,259.25,21,265.1,-40.7543,-35.4272
38,274.99,7,69.48,-4.72759,-1.62784
7,27.04,21,265.1,-69.9684,-24.092
5,10.97,18,223.23,-8.4505,-15.893
30,211.04,18,222.98,11.4681,8.03006
33,235.07,18,223.03,1.45443,2.62386
13,75.3,38,503.29,23.8464,38.1621
36,259.09,12,139.47,-40.1488,-86.0992
26,178.99,22,279.41,-70.7203,-57.2681
34,243.48,3,13.49,25.9575,79.8887
34,243.27,28,363.49,-3.80423,-1.23607
28,195.18,17,209.03,-51.2917,-41.5351
31,218.99,26,335.2,23.3165,37.3141
25,171.47,25,321.45,50.5656,43.9559
32,227.3,10,111.53,27.6342,49.8533
33,235.49,36,475.5,23.6354,4.16755
9,43.02,18,223.55,-49.8533,-27.6341
12,67.12,27,349.35,89.507,9.40755
13,75.33,14,167.47,-23.3165,-37.3141
17,107.05,6,55.36,12.6082,9.85058
5,11.39,35,461.51,-64.5155,-7.9215
39,283.33,9,97.46,-76.6266,-39.0432
14,83.43,39,517.38,-45.7497,-70.4483
4,3.18,30,391.27,-3.87848,-6.99695
23,154.98,6,55.18,-22.4765,-55.631
17,107.34,25,321.01,62.0619,66.5531
36,259.39,1,-14.46,59.1365,70.476
10,51.43,2,-1.02,-30.3996,-43.415
15,91,32,419.22,-2.15021,-5.60148
3,-4.94,17,209.47,-7.98103,-15.0101
5,11.37,6,55.39,-45.738,-60.6963
34,243.1,20,251.52,-6.81999,-7.31353
3,-4.71,18,223.22,-4.45887,-4.01478
7,27.26,13,153.16,4.1145,5.66312
35,251.47,0,-28.51,-19.0211,-6.18033
21,139.02,23,293.05,-0.422619,-0.906307
26,179.11,13,153.35,16.5482,12.9289
11,59.33,36,475.38,12.432,3.80083
31,218.98,23,293.53,42.4264,42.4264
15,91.53,1,-14.88,60.0405,31.924
19,123.27,31,405.51,-73.7237,-51.6218
34,243.33,16,195.36,-19.5016,-27.8512
23,155.54,6,55.28,-80.6614,-37.613
5,11.11,33,433.05,-29.708,-4.17519
39,283.34,21,265.29,-14.2561,-7.26384
17,107.52,4,27.45,-32.803,-37.7355
11,59.53,2,-0.76,-14.5277,-28.5122
37,267.4,18,223.33,71.1334,20.3971
28,195.08,15,180.98,17.6165,7.11752
6,19.07,26,335.45,-5.79556,-1.55291
10,51.09,6,55.03,18.4101,7.81462
20,131.2,36,475.19,33.459,38.4902
10,50.97,27,349.05,-11.8832,-1.67008
9,43.13,4,27.33,10.3927,27.0738
5,11.33,26,335.48,6.5078,14.6167
22,147.55,33,432.97,-12.2567,-10.2846
28,195.53,29,377.21,-11.9821,-18.4507
9,42.97,32,419.13,3.37147,8.34465
22,147.47,29,377.03,-5.28759,-11.8761
22,147.49,39,517.46,10.2846,12.2567
10,51.27,25,321.52,-28.4716,-63.9482
20,131.15,37,489.18,-42.424,-50.5589
13,75,35,461.35,-51.3203,-44.612
31,219.11,39,516.97,7.55185,9.32575
3,-4.68,10,110.99,2.92542,2.72799
37,267.03,8,83.51,0.97437,0.224951
35,250.98,8,83.29,-13.248,-21.2012
19,123.45,38,503.32,-77.0003,-53.9161
23,155.34,36,475.19,-41.4519,-27.9596
20,131.1,4,27.2,43.5919,62.2555
21,139.42,6,55.39,-74.1747,-29.9685
20,131.44,20,251.38,-59.0885,-10.4189
24,163.16,24,306.99,25.0534,38.5788
5,11.47,12,139.38,-39.1429,-65.1447
22,147.54,27,349.15,0,0
38,275.3,33,433.13,-12.216,-4.44626
23,155.45,12,139.13,-38.6825,-91.1299
11,59.42,24,307.24,-12.0451,-17.2022
2,-12.79,12,139.31,17.4653,4.35459
28,195.37,26,335.04,-15.3584,-14.322
35,251.06,23,293.37,-23.6184,-24.4575
25,171.38,11,125.46,16.8733,2.07178
34,243.18,37,489.35,19.3924,34.9848
20,131.19,33,433.5,-28.7614,-14.0279
22,147.33,3,13.37,-28.8666,-33.2072
38,275.08,16,195.18,38.3133,19.5216
4,3.05,35,461.12,16.759,46.0449
27,187.2,26,335.13,55.9689,74.2731
5,11.11,21,265.27,-23.2337,-47.6361
21,139.18,18,223.33,0.981627,0.190809
11,59.08,29,377.04,57.2879,61.4337
21,139.46,12,139.53,55.6932,5.85359
33,235.13,25,321.16,-19.8813,-65.0287
10,51.06,32,419.28,71.0047,34.6313
32,227.49,4,26.99,-17.8542,-6.49838
20,131.01,28,363.06,8.66812,6.77227
21,139.41,2,-0.5,-7.79496,-1.79961
